Host species,Common Name,Virus family,Virus genus,Virus name,Baltimore classification,Category,NucAcid,Spherical,Filamentous,Pleomorphic,Bullet-form,Lipid Envelope,Fecal.Oral,Fecal.Oral.Reference,Arbovirus,Arbovirus.Reference,Inhalation.Aerosols,Inhalation.Aerosols.Reference,Inhalation.Dust,Inhalation.Dust.Reference,Sexual,Sexual.Reference,Eating,Eating.Reference,Oral.Bloodstream,Oral.Bloodstream.Reference,Breastfeeding,Breastfeeding.Reference,Congenital/vertical,Congenital/vertical.Reference,Germ.line,Germ.line.Reference,Blood.Products,Blood.Products.Reference,Contact.Skin.or.Eye,Contact.Skin.or.Eye.Reference
Bos taurus,Cow,Flaviviridae,Pestivirus,Bovine viral diarrhea virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 24656648,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 12661878,0,PubMedNeg,1,PMID: 8393223,1,PMID: 8393223
Bos taurus,Cow,Flaviviridae,Flavivirus,Tickborne encephalitis virus,IV,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 209613,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Hepeviridae,Orthohepevirus,Orthohepevirus A,IV,,RNA,1,0,0,0,0,1,PMID: 21316404,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Herpesviridae,Macavirus,Alcelaphine herpesvirus 1,I,,DNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,1,PMID: 16621344,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Herpesviridae,Varicellovirus,Bovine herpesvirus 1,I,,DNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,1,PMID: 10925036,0,PubMedNeg,1,PMID: 7610554,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 10789518,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Herpesviridae,Simplexvirus,Bovine herpesvirus 2,I,,DNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,1,PMID: 6282532,0,PubMedNeg,0,PubMedNeg,1,PMID: 6282532,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Herpesviridae,Varicellovirus,Pseudorabies virus/Suid herpesvirus 1,I,,DNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,1,PMID: 6283959,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Nairoviridae,Orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus,V,,RNA,1,0,0,0,1,0,PubMedNeg,1,PMID: 9379454,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Bos taurus,Cow,Orthomyxoviridae,Thogotovirus,Thogotovirus,V,,RNA,0,0,0,1,1,0,PubMedNeg,1,https://emedicine.medscape.com/article/2500028-overview,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID:27030270
Bos taurus,Cow,Papillomaviridae,Xipapillomavirus,Xipapillomavirus 1,I,,DNA,1,0,0,0,0,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 7773594
